5-9,10-14, 15-19,WRRF Name,Total Population,Total WRRF Population,Zip Codes Served,Zip_Codes_Served
6381.0,6175.0,6106.0,Coney Island,18662.0,117865.0,"11210, 11224, 11226, 11229, 11230, 11234, 11235, 11236","['11210', ' 11224', ' 11226', ' 11229', ' 11230', ' 11234', ' 11235', ' 11236']"
2016.0,2912.0,2490.0,Newtown Creek,7418.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
2200.0,2354.0,1287.0,Newtown Creek,5841.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
786.0,996.0,1151.0,26th Ward,2933.0,72091.0,"11203, 11207, 11208, 11212, 11239","['11203', ' 11207', ' 11208', ' 11212', ' 11239']"
1923.0,2297.0,2049.0,Tallman Island,6269.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
3509.0,3311.0,2904.0,Tallman Island,9724.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
1499.0,1846.0,1864.0,Tallman Island,5209.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
2165.0,3188.0,2191.0,Tallman Island,7544.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
1839.0,2277.0,1705.0,Tallman Island,5821.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
0.0,0.0,0.0,Tallman Island,0.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
557.0,799.0,937.0,Tallman Island,2293.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
1436.0,1804.0,1089.0,Tallman Island,4329.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
984.0,725.0,766.0,Tallman Island,2475.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
450.0,354.0,313.0,Tallman Island,1117.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
2140.0,2441.0,2123.0,Tallman Island,6704.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
1964.0,2973.0,2734.0,Tallman Island,7671.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
613.0,788.0,622.0,Tallman Island,2023.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
2685.0,2269.0,2636.0,Tallman Island,7590.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
7795.0,8560.0,7570.0,Bowery Bay,23925.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
1329.0,2025.0,1823.0,Bowery Bay,5177.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
1171.0,1273.0,1651.0,Wards Island,4095.0,240219.0,"10021, 10028, 10029, 10030, 10032, 10033, 10035, 10037, 10039, 10040, 10065, 10075, 10128, 10451, 10452, 10453, 10454, 10455, 10456, 10457, 10458, 10463, 10468, 10471, 11370","['10021', ' 10028', ' 10029', ' 10030', ' 10032', ' 10033', ' 10035', ' 10037', ' 10039', ' 10040', ' 10065', ' 10075', ' 10128', ' 10451', ' 10452', ' 10453', ' 10454', ' 10455', ' 10456', ' 10457', ' 10458', ' 10463', ' 10468', ' 10471', ' 11370']"
1171.0,1273.0,1651.0,Bowery Bay,4095.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
1171.0,1273.0,1651.0,Hunts Point,4095.0,151282.0,"10459, 10460, 10462, 10463, 10464, 10465, 10466, 10467, 10469, 10470, 10472, 10473, 10474, 10475, 11370","['10459', ' 10460', ' 10462', ' 10463', ' 10464', ' 10465', ' 10466', ' 10467', ' 10469', ' 10470', ' 10472', ' 10473', ' 10474', ' 10475', ' 11370']"
0.0,0.0,0.0,Bowery Bay,0.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
3860.0,3552.0,2547.0,Bowery Bay,9959.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
5785.0,6709.0,5933.0,Bowery Bay,18427.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
2392.0,2006.0,1587.0,Bowery Bay,5985.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
4181.0,3446.0,2391.0,Bowery Bay,10018.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
3780.0,4188.0,3365.0,Bowery Bay,11333.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
2004.0,2819.0,2820.0,Bowery Bay,7643.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
2123.0,2777.0,1677.0,Newtown Creek,6577.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
5392.0,7136.0,5878.0,Newtown Creek,18406.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
725.0,1425.0,993.0,Jamaica Bay,3143.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1912.0,2356.0,2519.0,Jamaica Bay,6787.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
2456.0,2972.0,2757.0,Jamaica Bay,8185.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1669.0,1727.0,1190.0,Jamaica Bay,4586.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1149.0,933.0,622.0,Bowery Bay,2704.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
1590.0,1691.0,1866.0,Jamaica Bay,5147.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
2217.0,2299.0,1883.0,Jamaica Bay,6399.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
2089.0,2417.0,2270.0,Jamaica Bay,6776.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1985.0,2640.0,2689.0,Jamaica Bay,7314.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
2441.0,2655.0,3195.0,Jamaica Bay,8291.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1985.0,2640.0,2689.0,Jamaica Bay,7314.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1665.0,2202.0,2206.0,Jamaica Bay,6073.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1576.0,1719.0,1677.0,Jamaica Bay,4972.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1009.0,1173.0,860.0,Jamaica Bay,3042.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1114.0,1370.0,1137.0,Tallman Island,3621.0,74748.0,"11004, 11005, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11427","['11004', ' 11005', ' 11354', ' 11355', ' 11356', ' 11357', ' 11358', ' 11359', ' 11360', ' 11361', ' 11362', ' 11363', ' 11364', ' 11365', ' 11366', ' 11367', ' 11427']"
965.0,1130.0,1075.0,Jamaica Bay,3170.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1196.0,1342.0,1812.0,Jamaica Bay,4350.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
0.0,14.0,0.0,Jamaica Bay,14.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
3631.0,3917.0,3473.0,Jamaica Bay,11021.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
2421.0,3194.0,3007.0,Jamaica Bay,8622.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
4296.0,4277.0,4151.0,Jamaica Bay,12724.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
3738.0,3212.0,2977.0,Jamaica Bay,9927.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1405.0,1301.0,1318.0,Jamaica Bay,4024.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
6282.0,6359.0,4749.0,Rockaway,17390.0,29986.0,"11691, 11692, 11693, 11694, 11697","['11691', ' 11692', ' 11693', ' 11694', ' 11697']"
1740.0,2367.0,1256.0,Rockaway,5363.0,29986.0,"11691, 11692, 11693, 11694, 11697","['11691', ' 11692', ' 11693', ' 11694', ' 11697']"
992.0,883.0,935.0,Rockaway,2810.0,29986.0,"11691, 11692, 11693, 11694, 11697","['11691', ' 11692', ' 11693', ' 11694', ' 11697']"
1177.0,1653.0,1035.0,Rockaway,3865.0,29986.0,"11691, 11692, 11693, 11694, 11697","['11691', ' 11692', ' 11693', ' 11694', ' 11697']"
246.0,164.0,148.0,Rockaway,558.0,29986.0,"11691, 11692, 11693, 11694, 11697","['11691', ' 11692', ' 11693', ' 11694', ' 11697']"
